鬋,2髟前,
赟,2斌贝,
鬉,4髟凶八夂,
鬈,2髟卷,
鬇,2髟争,
鬅,2髟朋,
鬄,2髟易,
鬃,2髟宗,
鬂,2髟兵,
鬁,2髟利,
鬀,2髟弟,
髿,2髟沙,
髾,2髟肖,
髽,2髟坐,
髼,2髟夆,
髻,2髟吉,
髺,2髟舌,
髹,2髟休,
髷,2髟曲,
髶,2髟耳,
髵,2髟而,
髴,2髟弗,
髳,2髟矛,
髲,2髟皮,
髱,2髟包,
髰,3髟髟世,
髯,2髟冉,
髭,2髟此,
髬,2髟丕,
髫,2髟召,
髪,2髟友,
髩,2髟丏,
髨,2髟元,
髧,2髟冘,
髦,2髟毛,
髥,2髟冄,
髤,2髟木,
髣,2髟方,
髢,2髟也,
髡,2髟兀,
髠,2髟几,
髟,2镸彡,
髞,2高喿,
髜,2高昇,
髛,2高尻,
谏,2讠柬,
髙,6亠丨一一丨冋,
高,4亠口冂口,
髋,2骨宽,
髌,2骨宾,
体,2亻本,
髓,2骨遀,
髅,2骨娄,
髎,2骨翏,
髍,2骨麻,
髊,2骨差,
髉,2骨隺,
髈,2骨旁,
髇,2骨高,
髆,2骨尃,
谿,2奚谷,
髃,2骨禺,
髂,2骨客,
髁,2骨果,
髀,2骨卑,
赞,3先先贝,
骾,2骨更,
骽,2骨妥,
骼,2骨各,
骻,2骨夸,
骺,2骨后,
骹,2骨交,
骸,2骨亥,
骷,2骨古,
骶,2骨氐,
骵,2骨本,
骴,2骨此,
骳,2骨皮,
骲,2骨包,
骱,2骨介,
骰,2骨殳,
骮,2骨戈,
骭,2骨干,
骬,2骨于,
骫,2骨丸,
骪,2骨凡,
骩,2骨九,
骉,3马马马,
骊,2马丽,
骦,2马霜,
骥,2马冀,
骧,2马襄,
驴,2马户,
骤,2马聚,
驿,4马又二丨,
惊,2忄京,
骄,2马乔,
骣,2马孱,
骁,2马尧,
骕,2马肃,
骅,2马华,
骢,2马悤,
骠,2马票,
骖,2马参,
骜,2敖马,
蓦,2莫马,
衎,2行干,
骟,2马扇,
骚,2马蚤,
驺,2马刍,
衇,3血厂氏,2血?,
骝,2马留,
骘,2陟马,
骞,4马宀井大,
骙,2马癸,
骗,2马扁,
骛,2敄马,
验,2马佥,
骐,2马其,
骑,2马奇,
骒,2马果,
贯,2母贝,
骓,2马隹,
骍,2马辛,
骋,2马甹,3马由丂,
骏,2马夋,
骎,4马彐冖又,
骆,2马各,
骃,2马因,
骇,2马亥,
骈,2马并,
驷,2马四,
驼,2马它,
驶,2马史,
驸,2马付,
骀,2马台,
驾,2加马,
驵,2马且,
驹,2马句,
驽,2奴马,
驻,2马主,
驱,2马区,
驳,2马爻,
馾,2馬冘,
驲,2马日,
驯,2马川,
驰,2马也,
驮,2马大,
馯,2馬干,
冯,2冫马,
驭,2马又,
馫,3香香香,
馨,3声殳香,2殸香,
馧,2香昷,
馦,2香兼,
馥,2香复,
馤,2香曷,
馣,2香奄,
馡,2香非,
馠,2香含,
馟,2香孚,
馞,2香孛,
馝,2香必,
馜,2香尼,
馛,2香犮,
馚,2香分,
香,2禾日,
馘,2首或,
馗,2九首,
首,4丷一丶目,
馕,2饣囊,
馋,3饣免冫,
餍,2厌食,
饚,2食蓋,
飨,2食乡,
饕,2號食,
饶,2饣尧,
评,2讠平,
馔,2饣巽,
馈,2饣贵,
馓,2饣散,
馑,2饣堇,
馐,2饣羞,
馒,2饣曼,
馍,2饣莫,
馌,2饣盍,
馊,2饣叟,
馏,2饣留,
饩,2饣气,
馎,2饣尃,
馇,2饣查,
馉,2饣骨,
饧,4饣弓丿丿,
餮,2殄食,
馆,2饣官,
餥,2非食,
馅,2饣臽,
饯,2饣戋,
馃,2饣果,
馄,2饣昆,
肴,2乂有,4乂一丿月,
馀,2饣余,
饾,2饣豆,
馂,2饣夋,
饿,2饣我,
馁,2饣妥,
饽,2饣孛,
餐,3歺又食,
觬,2角兒,
饹,2饣各,
饵,2饣耳,
养,2羊介,4羊乀丿丨,
饷,2饣向,
餈,2次食,
饼,2饣并,
饸,2饣合,
饺,2饣交,
餀,2食艾,
饳,2饣出,
饰,4饣丿一巾,2食布,
饱,2饣包,
饲,2饣司,
飺,2此食,
飸,2号食,
饴,2饣台,
饮,2饣欠,
饭,2饣反,
饬,4饣丿一力,
飬,3丷夫良,
饫,2饣夭,
饪,2饣壬,
饨,2饣屯,
饦,2饣乇,
饤,2饣丁,
饥,2饣几,
飡,2冫食,
饣,3人良飠,
食,2人良,
飜,2番飛,
飞,2乙丷,
飚,2风猋,
飙,2猋风,4犬犬犬风,
飘,2票风,
飗,2风留,
飕,2风叟,
飖,3爫缶风,
飏,4风弓丿丿,
飔,2风思,
飓,2风具,
飒,2立风,
飑,2风包,
谯,2讠焦,
风,2几乂,
颧,2雚页,
颞,2聂页,
颅,2卢页,
颦,2频卑,
显,2日业,
颥,2需页,
颤,2亶页,
颢,2景页,
颟,3艹两页,
类,2米大,
颠,2真页,
颡,2桑页,
愿,2原心,
颛,2耑页,
颙,2禺页,
颜,2彦页,
颚,2咢页,
额,2客页,
题,2是页,
顇,2卒頁,
颗,2果页,
频,2步页,
颓,2秃页,
颈,2圣页,
颔,2含页,
頶,2告頁,
颕,3匕示页,
颋,2廷页,
颒,3水廾页,
头,3丶丶大,
卫,2卩一,
頫,2兆頁,
颏,2亥页,
颐,5匸丨口丨页,
颉,2吉页,
颌,2合页,
頙,2正頁,
领,2令页,
颇,2皮页,
顿,2屯页,
颁,2分页,
顽,2元页,
预,2予页,
颃,2亢页,
虿,2万虫,
颂,2公页,
顾,2厄页,
顼,2王页,
须,2彡页,
顸,2干页,
顺,2川页,
项,2工页,
顷,2匕页,
顶,2丁页,
页,3一丶贝,
頀,2音蒦,
韾,2殸音,
韽,2酓音,
韼,2音逢,
韵,2音匀,
韺,2音英,
韹,2音皇,
韸,2音夆,
韷,2音出,
韶,2音召,
韴,2音帀,
音,2立曰,
齑,4文丿丨韭,
韱,4人人戈韭,
韰,3歺又韭,
韯,3十戈韭,2?韭,
韮,2艹韭,
韭,2非一,
韫,2韦昷,
韝,2韋冓,
韬,2韦舀,
韪,2是韦,
韩,4十日十韦,
韨,2韦犮,3韦友丶,
韧,2韦刃,
韦,3二?丨,
鞯,2革荐,
韈,2革蔑,
韄,2革蒦,
鞑,2革达,
韂,2革詹,
韀,2革廌,
鞒,2革乔,
鞹,2革郭,
鞷,2鬲革,
鞶,2般革,
鞵,2革奚,
鞴,4革艹厂用,
鞳,2革荅,
鞲,2革冓,
鞱,2革舀,
鞮,2革是,
鞭,2革便,
鞬,2革建,
鞫,2革訇,
资,2次贝,
费,2弗贝,
鞨,2革曷,
赧,3赤卩又,
鞥,2革弇,
鞤,2封革,
鞣,2革柔,
鞢,2革枼,
鞡,2革拉,
蠸,2虫雚,
鞟,2革享,
鞞,2革卑,
鞝,2革尚,
鞜,2革沓,
觝,2角氐,
鞚,2革空,
觪,2角辛,
鞘,2革肖,
鞗,2攸革,
鞖,2革妥,
鞕,2革更,
鞔,2革免,
鞓,2革呈,
巩,2工凡,
鞎,2革艮,
鞍,2革安,
鞌,2安革,
鞋,2革圭,
鞊,2革吉,
鞉,2革兆,
鞈,2革合,
鞇,2革因,
鞅,2革央,
鞄,2革包,
鞃,2革弘,
鞂,2革和,
鞁,2革皮,
鞀,2革召,
靿,2革幼,
靾,2革世,
靽,2革半,
靼,2革旦,
靻,2革且,
靺,2革末,
说,2讠兑,
靸,2革及,
靷,2革引,
靶,2革巴,
诔,2讠耒,
靴,2革化,
靳,2革斤,
靲,2革今,
靱,2革刄,
谡,2讠畟,
靯,2革土,
靮,2革勺,
靭,2革刃,
靬,2革干,
靫,2革叉,
靪,2革丁,
革,3廿口十,
靥,2厌面,
腼,2月面,
靤,2面包,
靣,3一丶回,
面,3一丶囬,7一丶囗丨丨一一,
靡,2麻非,
靠,2告非,
靟,2非毛,
非,4三丿丨三,
靔,2青气,
静,2青争,
靛,2青定,
靓,2青见,
靘,2青色,
靗,2青光,
靖,2立青,
靕,2正青,
青,2丰月,
靐,3雷雷雷,
靊,2雨豐,
叆,2云爱,
灵,2彐火,
叇,2云逮,
霭,2雨谒,
靃,2雨雔,3雨隹隹,
雳,2雨历,
靁,2雨畾,
靀,2雨蒙,
霿,3雨敄目,
霾,2雨貍,
霁,2雨齐,
霼,2雲氣,
霺,2雨微,
霹,2雨辟,
霷,2雨晹,
霶,2雨滂,
霵,2雨戢,
霳,2雨隆,
覉,3覀革奇,
霱,2雨矞,
霰,2雨散,
霯,2雨登,
霮,2雨湛,
霬,2雨異,
霫,2雨習,
霪,4雨氵爫壬,
霩,2雨郭,
霨,2雨尉,
雾,2雨务,
赡,2贝詹,
赎,2贝卖,
霤,2雨留,
霡,2雨脉,
霠,3雨立今,
霟,2雨洪,
霞,2雨叚,
霝,4雨口口口,
霜,2雨相,
霛,4雨弓弓弓,
觫,2角束,
霙,2雨英,
霘,2雨洞,
霖,2雨林,
霕,2雲屯,
霔,2雨注,
霓,2雨兒,
霒,2雲今,
霑,2雨沾,
霐,2雨泓,
霏,2雨非,
霎,2雨妾,
霍,2雨隹,
霌,2雨周,
霋,2雨妻,
霊,3雨一亚,
霉,2雨母,
霈,2雨沛,
震,2雨辰,
霆,2雨廷,
讹,2讠化,
霄,2雨肖,
诩,2讠羽,
霂,2雨沐,
需,2雨而,
雿,2雨兆,
雽,2雨乎,
雼,2雨石,
电,2日乚,
雺,2雨矛,
雹,2雨包,
诅,2讠且,
雷,2雨田,
零,2雨令,
诱,2讠秀,
雴,2雨立,
雱,2雨方,
雰,2雨分,
雯,2雨文,
雮,2雨毛,
雭,2雨及,
雬,2雨木,
雫,2雨下,
雪,2雨彐,
雩,2雨亏,
雨,7一冂丨丶丶丶丶,
谑,2讠虐,
谥,2讠益,
雥,3隹隹隹,
雤,4臼爻冖隹,2?隹,
难,2又隹,
离,3离隹離,
雠,3隹讠隹,2雔言,
雟,3屮隹冏,
鸡,2又鸟,
雝,2邕隹,
雏,2刍隹,
雚,4艹口口隹,
双,2又又,
岂,2山己,
雗,6十日十丿一隹,
虽,2口虫,
雔,2隹隹,
雓,2余隹,
雒,2各隹,
杂,2九木,
雐,2虍隹,
雎,2且隹,
雍,3亠乡隹,
雌,2此隹,
雊,2句隹,
雉,2矢隹,
萑,2艹隹,
集,2隹木,
雅,2牙隹,
雄,2厷隹,
雃,2开隹,
雂,2今隹,
雁,3厂亻隹,2厂倠,
雀,2少隹,
隿,2弋隹,
隼,2隹十,
隺,2冖隹,
隹,3人主一,
隶,2彐水,
陇,2阝龙,
隳,4阝隋人心,5阝隋人小丶,
豰,3士冡殳,
贫,2分贝,
随,2阝迶,3阜辵有,
隧,2阝遂,
隦,2阝辟,
隥,2阝登,
貌,3豸白儿,
隣,2阝粦,
蛨,2虫百,
隟,2阝巢,
隞,2阝敖,
障,2阝章,
际,2阝示,
隚,2阝堂,
隙,4阝小日小,
隘,2阝益,
隗,2阝鬼,
隖,2阝烏,
陨,2阝员,
隔,2阝鬲,
赣,5立早夂工贝,
隒,2阝兼,
阶,2阝介,
隍,2阝皇,
隌,2阝音,
隋,3阝左月,
队,2阝人,
隉,3阝臼土,
隈,2阝畏,
隇,2阝威,
隆,3阝夕生,
隅,2阝禺,
隄,2阝是,
隃,2阝俞,
隂,3阝人镸,
隁,2阝匽,
隀,2阝重,
陾,2阝耎,
阳,2阝日,
陼,2阝者,
陻,2阝垔,
险,2阝佥,
陆,2阝击,
陶,2阝匋,
陵,2阝夌,
陴,2阝卑,
陈,2阝东,
陲,2阝垂,
陱,2阝匊,
阴,2阝月,
陮,2阝隹,
陭,2阝奇,
陬,2阝取,
陫,2阝非,
陪,2阝咅,
陧,2阝圼,
陷,2阝臽,
除,2阝余,
阵,2阝车,
院,2阝完,
陡,2阝走,
陠,2阝甫,
陟,2阝步,
陕,2阝夹,
陛,2阝坒,3阝比土,
陚,2阝武,
